province_state,date,confirmed,deaths,active
Kentucky,2020-07-14,1940,37,1903
Ohio,2020-07-14,58,0,58
Pennsylvania,2020-07-14,213,4,209
Tennessee,2020-07-14,393,6,387
Texas,2020-07-14,174,4,170
West Virginia,2020-07-14,84,4,80
Michigan,2020-07-14,187,5,182
Tennessee,2020-07-14,29,0,29
Montana,2020-07-14,2,0,2
Washington,2020-07-14,4,0,4
Minnesota,2020-07-14,38,0,38
Nebraska,2020-07-14,20,1,19
Kansas,2020-07-14,1605,10,1595
Texas,2020-07-14,14,1,13
Florida,2020-07-14,529,5,524
Montana,2020-07-14,84,2,82
Kentucky,2020-07-14,31,0,31
South Carolina,2020-07-14,1728,59,1669
Wisconsin,2020-07-14,5,0,5
Georgia,2020-07-14,755,15,740
Indiana,2020-07-14,425,44,381
Iowa,2020-07-14,84,2,82
Kentucky,2020-07-14,44,1,43
Texas,2020-07-14,53,2,51
Virginia,2020-07-14,25,1,24
Virginia,2020-07-14,139,8,131
Texas,2020-07-14,1,0,1
Wisconsin,2020-07-14,403,6,397
Illinois,2020-07-14,42,1,41
Kansas,2020-07-14,1976,8,1968
Pennsylvania,2020-07-14,7,0,7
Wisconsin,2020-07-14,48,3,45
Mississippi,2020-07-14,1071,43,1028
Georgia,2020-07-14,1223,15,1208
North Carolina,2020-07-14,3785,40,3745
Texas,2020-07-14,5015,63,4952
North Dakota,2020-07-14,3,0,3
Indiana,2020-07-14,38,2,36
Alabama,2020-07-14,960,16,944
Arkansas,2020-07-14,34,1,33
Florida,2020-07-14,45,0,45
Georgia,2020-07-14,270,1,269
Idaho,2020-07-14,33,0,33
Illinois,2020-07-14,50,0,50
Indiana,2020-07-14,128,8,120
Iowa,2020-07-14,117,0,117
Kansas,2020-07-14,94,1,93
Kentucky,2020-07-14,168,4,164
Louisiana,2020-07-14,575,14,561
Maine,2020-07-14,41,1,40
Massachusetts,2020-07-14,384,57,327
Mississippi,2020-07-14,58,2,56
Missouri,2020-07-14,305,18,287
Nebraska,2020-07-14,8,0,8
New York,2020-07-14,36,0,36
North Carolina,2020-07-14,518,22,496
Ohio,2020-07-14,12574,449,12125
Pennsylvania,2020-07-14,1016,46,970
Tennessee,2020-07-14,124,3,121
Texas,2020-07-14,61,1,60
Vermont,2020-07-14,110,6,104
Virginia,2020-07-14,114,1,113
Washington,2020-07-14,2505,39,2466
Virginia,2020-07-14,78,3,75
Maryland,2020-07-14,2619,120,2499
Virginia,2020-07-14,558,6,552
Virginia,2020-07-14,287,0,287
Minnesota,2020-07-14,316,0,316
Texas,2020-07-14,77,0,77
Colorado,2020-07-14,46,0,46
Idaho,2020-07-14,12,0,12
Iowa,2020-07-14,11,0,11
Wyoming,2020-07-14,397,0,397
California,2020-07-14,8756,91,8665
Texas,2020-07-14,336,0,336
Nebraska,2020-07-14,2,0,2
Arkansas,2020-07-14,18,0,18
Georgia,2020-07-14,11354,327,11027
Illinois,2020-07-14,17,0,17
Indiana,2020-07-14,79,1,78
Kentucky,2020-07-14,29,1,28
New York,2020-07-14,266,24,242
Ohio,2020-07-14,71,0,71
Pennsylvania,2020-07-14,19,1,18
Nebraska,2020-07-14,10,1,9
Florida,2020-07-14,624,8,616
Nebraska,2020-07-14,67,3,64
Texas,2020-07-14,45,0,45
Virginia,2020-07-14,290,16,274
Illinois,2020-07-14,7,0,7
Kentucky,2020-07-14,68,8,60
Montana,2020-07-14,417,1,416
Ohio,2020-07-14,21,1,20
Texas,2020-07-14,6201,54,6147
Nebraska,2020-07-14,4,0,4
Colorado,2020-07-14,441,3,438
Montana,2020-07-14,1,0,1
Nebraska,2020-07-14,3,0,3
Oklahoma,2020-07-14,132,2,130
Washington,2020-07-14,2,0,2
Arkansas,2020-07-14,347,3,344
Kentucky,2020-07-14,40,0,40
Maryland,2020-07-14,27,0,27
Oklahoma,2020-07-14,133,3,130
Texas,2020-07-14,22,1,21
Missouri,2020-07-14,17,0,17
North Carolina,2020-07-14,1946,16,1930
North Carolina,2020-07-14,30,2,28
Kansas,2020-07-14,86,1,85
