time(s),V_m,Current (A),Cycle,Cap
0,4.098,0.997,1,2.840816667
1,4.096,0.998,1,2.840816667
2,4.094,0.999,1,2.840816667
3,4.093,0.998,1,2.840816667
4,4.092,0.999,1,2.840816667
5,4.091,0.997,1,2.840816667
6,4.09,0.996,1,2.840816667
7,4.089,0.996,1,2.840816667
8,4.089,0.995,1,2.840816667
9,4.088,0.995,1,2.840816667
10,4.088,0.996,1,2.840816667
11,4.087,0.996,1,2.840816667
12,4.086,0.997,1,2.840816667
13,4.086,0.998,1,2.840816667
14,4.086,0.999,1,2.840816667
15,4.085,1,1,2.840816667
16,4.085,1.001,1,2.840816667
17,4.084,1.001,1,2.840816667
18,4.084,1.001,1,2.840816667
19,4.083,1,1,2.840816667
20,4.083,1,1,2.840816667
21,4.082,1,1,2.840816667
22,4.082,0.998,1,2.840816667
23,4.081,0.998,1,2.840816667
24,4.081,0.996,1,2.840816667
25,4.08,0.996,1,2.840816667
26,4.08,0.996,1,2.840816667
27,4.08,0.996,1,2.840816667
28,4.079,0.997,1,2.840816667
29,4.079,0.997,1,2.840816667
30,4.079,0.998,1,2.840816667
31,4.079,1,1,2.840816667
32,4.078,1,1,2.840816667
33,4.078,1.002,1,2.840816667
34,4.078,1.001,1,2.840816667
35,4.077,1.002,1,2.840816667
36,4.077,1,1,2.840816667
37,4.077,0.999,1,2.840816667
38,4.076,0.998,1,2.840816667
39,4.076,0.997,1,2.840816667
40,4.075,0.996,1,2.840816667
41,4.075,0.996,1,2.840816667
42,4.075,0.996,1,2.840816667
43,4.074,0.996,1,2.840816667
44,4.074,0.998,1,2.840816667
45,4.074,0.999,1,2.840816667
46,4.074,1,1,2.840816667
47,4.074,1.001,1,2.840816667
48,4.073,1.001,1,2.840816667
49,4.073,1.001,1,2.840816667
50,4.073,1.002,1,2.840816667
51,4.073,1.001,1,2.840816667
52,4.072,1.001,1,2.840816667
53,4.072,0.999,1,2.840816667
54,4.072,0.998,1,2.840816667
55,4.071,0.997,1,2.840816667
56,4.071,0.996,1,2.840816667
57,4.07,0.996,1,2.840816667
58,4.07,0.996,1,2.840816667
59,4.07,0.996,1,2.840816667
60,4.07,0.997,1,2.840816667
61,4.07,0.998,1,2.840816667
62,4.069,0.999,1,2.840816667
63,4.069,1.001,1,2.840816667
64,4.069,1.001,1,2.840816667
65,4.069,1.001,1,2.840816667
66,4.069,1.001,1,2.840816667
67,4.068,1,1,2.840816667
68,4.068,1,1,2.840816667
69,4.068,0.999,1,2.840816667
70,4.068,0.998,1,2.840816667
71,4.067,0.997,1,2.840816667
72,4.067,0.996,1,2.840816667
73,4.067,0.996,1,2.840816667
74,4.066,0.997,1,2.840816667
75,4.066,0.997,1,2.840816667
76,4.066,0.998,1,2.840816667
77,4.066,0.999,1,2.840816667
78,4.066,1,1,2.840816667
79,4.066,1.001,1,2.840816667
80,4.065,1.002,1,2.840816667
81,4.065,1,1,2.840816667
82,4.065,1,1,2.840816667
