province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Isle of Man,United Kingdom,2021-12-31,54.2361,-4.5481,POINT(-4.5481 54.2361),13641,67,,,,,"Isle of Man, United Kingdom"
Wales,United Kingdom,2021-12-31,52.1307,-3.7837,POINT(-3.7837 52.1307),632125,6567,,,,,"Wales, United Kingdom"
Unknown,United Kingdom,2021-12-31,,,,0,0,,,,,"Unknown, United Kingdom"
Anguilla,United Kingdom,2021-12-31,18.2206,-63.0686,POINT(-63.0686 18.2206),1674,5,,,,,"Anguilla, United Kingdom"
British Virgin Islands,United Kingdom,2021-12-31,18.4207,-64.64,POINT(-64.64 18.4207),3492,39,,,,,"British Virgin Islands, United Kingdom"
England,United Kingdom,2021-12-31,52.3555,-1.1743,POINT(-1.1743 52.3555),10988851,129219,,,,,"England, United Kingdom"
Bermuda,United Kingdom,2021-12-31,32.3078,-64.7505,POINT(-64.7505 32.3078),6420,110,,,,,"Bermuda, United Kingdom"
Gibraltar,United Kingdom,2021-12-31,36.1408,-5.3536,POINT(-5.3536 36.1408),8701,100,,,,,"Gibraltar, United Kingdom"
Cayman Islands,United Kingdom,2021-12-31,19.3133,-81.2546,POINT(-81.2546 19.3133),8818,11,,,,,"Cayman Islands, United Kingdom"
Turks and Caicos Islands,United Kingdom,2021-12-31,21.69400000000001,-71.7979,POINT(-71.7979 21.694),3284,26,,,,,"Turks and Caicos Islands, United Kingdom"
Montserrat,United Kingdom,2021-12-31,16.742498,-62.187366000000004,POINT(-62.187366 16.742498),46,1,,,,,"Montserrat, United Kingdom"
Scotland,United Kingdom,2021-12-31,56.4907,-4.2026,POINT(-4.2026 56.4907),914841,9858,,,,,"Scotland, United Kingdom"
Falkland Islands (Malvinas),United Kingdom,2021-12-31,-51.7963,-59.5236,POINT(-59.5236 -51.7963),83,0,,,,,"Falkland Islands (Malvinas), United Kingdom"
Channel Islands,United Kingdom,2021-12-31,49.3723,-2.3644,POINT(-2.3644 49.3723),27507,113,,,,,"Channel Islands, United Kingdom"
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-12-31,-7.9467,-14.3559,POINT(-14.3559 -7.9467),4,0,,,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom"
Northern Ireland,United Kingdom,2021-12-31,54.7877,-6.4923,POINT(-6.4923 54.7877),402069,2980,,,,,"Northern Ireland, United Kingdom"
Isle of Man,United Kingdom,2021-12-30,54.2361,-4.5481,POINT(-4.5481 54.2361),13578,67,,,,,"Isle of Man, United Kingdom"
